,Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches),Year
6850,1957-01-01,11.0,-3.0,0.00,0.00,0.00,1957
6851,1957-01-02,27.0,0.0,0.00,0.00,0.00,1957
6852,1957-01-03,35.0,19.0,0.10,1.10,0.00,1957
6853,1957-01-04,19.0,6.0,T,T,1.00,1957
6854,1957-01-05,25.0,3.0,T,T,1.00,1957
6855,1957-01-06,32.0,12.0,T,T,T,1957
6856,1957-01-07,31.0,19.0,0.00,0.00,T,1957
6857,1957-01-08,33.0,-3.0,0.00,0.00,T,1957
6858,1957-01-09,0.0,-8.0,0.00,0.00,T,1957
6859,1957-01-10,13.0,-9.0,0.00,0.00,T,1957
6860,1957-01-11,16.0,3.0,0.00,0.00,T,1957
6861,1957-01-12,9.0,-4.0,0.02,0.30,T,1957
6862,1957-01-13,-2.0,-8.0,0.00,0.00,T,1957
6863,1957-01-14,14.0,-9.0,0.00,0.00,T,1957
6864,1957-01-15,8.0,-4.0,0.00,0.00,T,1957
6865,1957-01-16,3.0,-11.0,0.01,0.20,T,1957
6866,1957-01-17,15.0,0.0,0.03,0.30,T,1957
6867,1957-01-18,25.0,-3.0,0.02,0.50,1.00,1957
6868,1957-01-19,38.0,14.0,T,T,1.00,1957
6869,1957-01-20,37.0,19.0,0.00,0.00,1.00,1957
6870,1957-01-21,39.0,10.0,T,T,1.00,1957
6871,1957-01-22,10.0,-2.0,0.00,0.00,T,1957
6872,1957-01-23,20.0,-5.0,T,T,T,1957
6873,1957-01-24,19.0,-2.0,T,T,T,1957
6874,1957-01-25,4.0,-5.0,0.02,0.20,T,1957
6875,1957-01-26,13.0,-8.0,0.00,0.00,T,1957
6876,1957-01-27,24.0,-3.0,0.00,0.00,T,1957
6877,1957-01-28,24.0,9.0,0.11,2.10,T,1957
6878,1957-01-29,15.0,-12.0,0.01,0.20,2.00,1957
6879,1957-01-30,28.0,-13.0,0.00,0.00,2.00,1957
6880,1957-01-31,28.0,6.0,T,T,2.00,1957
6881,1957-02-01,19.0,6.0,0.01,0.10,1.00,1957
6882,1957-02-02,16.0,4.0,0.26,2.80,2.00,1957
6883,1957-02-03,14.0,-7.0,0.01,0.10,4.00,1957
6884,1957-02-04,24.0,2.0,0.00,0.00,4.00,1957
6885,1957-02-05,35.0,14.0,0.00,0.00,4.00,1957
6886,1957-02-06,40.0,12.0,T,T,3.00,1957
6887,1957-02-07,29.0,15.0,0.00,0.00,2.00,1957
6888,1957-02-08,35.0,13.0,0.05,0.00,2.00,1957
6889,1957-02-09,35.0,26.0,T,0.00,1.00,1957
6890,1957-02-10,33.0,22.0,T,T,1.00,1957
6891,1957-02-11,36.0,28.0,0.00,0.00,1.00,1957
6892,1957-02-12,40.0,30.0,0.00,0.00,1.00,1957
6893,1957-02-13,36.0,17.0,0.00,0.00,1.00,1957
6894,1957-02-14,28.0,7.0,T,0.10,T,1957
6895,1957-02-15,35.0,19.0,0.01,0.10,T,1957
6896,1957-02-16,19.0,1.0,T,T,T,1957
6897,1957-02-17,33.0,0.0,0.00,0.00,T,1957
6898,1957-02-18,26.0,3.0,T,T,T,1957
6899,1957-02-19,16.0,-2.0,0.00,0.00,T,1957
6900,1957-02-20,26.0,8.0,T,0.10,T,1957
6901,1957-02-21,30.0,0.0,0.44,4.80,1.00,1957
6902,1957-02-22,7.0,-5.0,0.01,0.20,5.00,1957
6903,1957-02-23,27.0,3.0,0.01,0.20,5.00,1957
6904,1957-02-24,39.0,27.0,0.01,0.00,5.00,1957
6905,1957-02-25,40.0,30.0,0.00,0.00,1.00,1957
6906,1957-02-26,30.0,14.0,0.00,0.00,T,1957
6907,1957-02-27,34.0,12.0,T,T,T,1957
6908,1957-02-28,40.0,28.0,0.02,0.20,T,1957
6909,1957-03-01,32.0,11.0,0.01,0.10,T,1957
6910,1957-03-02,11.0,-1.0,0.00,0.00,T,1957
6911,1957-03-03,25.0,5.0,0.04,0.60,T,1957
6912,1957-03-04,34.0,20.0,0.02,0.40,1.00,1957
6913,1957-03-05,31.0,19.0,0.01,0.10,1.00,1957
6914,1957-03-06,19.0,10.0,T,T,T,1957
6915,1957-03-07,26.0,7.0,0.00,0.00,T,1957
6916,1957-03-08,28.0,12.0,0.07,1.40,T,1957
6917,1957-03-09,27.0,12.0,T,T,1.00,1957
6918,1957-03-10,42.0,22.0,0.00,0.00,T,1957
6919,1957-03-11,52.0,32.0,0.00,0.00,T,1957
6920,1957-03-12,39.0,26.0,0.00,0.00,0.00,1957
6921,1957-03-13,40.0,26.0,0.02,0.00,0.00,1957
6922,1957-03-14,37.0,27.0,0.67,0.30,0.00,1957
6923,1957-03-15,30.0,19.0,0.37,3.90,2.00,1957
6924,1957-03-16,29.0,16.0,0.00,0.00,4.00,1957
6925,1957-03-17,37.0,18.0,0.00,0.00,2.00,1957
6926,1957-03-18,33.0,29.0,T,T,1.00,1957
6927,1957-03-19,37.0,24.0,0.00,0.00,1.00,1957
6928,1957-03-20,45.0,25.0,0.00,0.00,T,1957
6929,1957-03-21,54.0,30.0,0.00,0.00,T,1957
6930,1957-03-22,56.0,31.0,0.00,0.00,0.00,1957
6931,1957-03-23,57.0,37.0,0.00,0.00,0.00,1957
6932,1957-03-24,46.0,31.0,0.00,0.00,0.00,1957
6933,1957-03-25,44.0,26.0,0.00,0.00,0.00,1957
6934,1957-03-26,48.0,25.0,0.00,0.00,0.00,1957
6935,1957-03-27,50.0,27.0,0.02,0.00,0.00,1957
6936,1957-03-28,47.0,30.0,0.01,T,0.00,1957
6937,1957-03-29,43.0,30.0,0.00,0.00,0.00,1957
6938,1957-03-30,53.0,27.0,0.00,0.00,0.00,1957
6939,1957-03-31,45.0,34.0,0.07,0.20,T,1957
6940,1957-04-01,52.0,34.0,0.00,0.00,0.00,1957
6941,1957-04-02,42.0,28.0,0.00,0.00,0.00,1957
6942,1957-04-03,47.0,29.0,0.00,0.00,0.00,1957
6943,1957-04-04,33.0,27.0,0.70,7.20,2.00,1957
6944,1957-04-05,35.0,30.0,0.04,0.20,5.00,1957
6945,1957-04-06,43.0,28.0,0.00,0.00,5.00,1957
6946,1957-04-07,40.0,30.0,0.00,0.00,2.00,1957
6947,1957-04-08,45.0,23.0,T,0.00,T,1957
6948,1957-04-09,38.0,22.0,0.00,0.00,0.00,1957
6949,1957-04-10,38.0,24.0,0.25,2.20,0.00,1957
6950,1957-04-11,26.0,18.0,T,T,1.00,1957
6951,1957-04-12,31.0,18.0,T,T,1.00,1957
6952,1957-04-13,37.0,26.0,0.00,0.00,T,1957
6953,1957-04-14,49.0,27.0,0.00,0.00,T,1957
6954,1957-04-15,47.0,35.0,0.07,0.00,0.00,1957
6955,1957-04-16,69.0,44.0,T,0.00,0.00,1957
6956,1957-04-17,60.0,40.0,0.00,0.00,0.00,1957
6957,1957-04-18,75.0,38.0,0.00,0.00,0.00,1957
6958,1957-04-19,78.0,57.0,0.17,0.00,0.00,1957
6959,1957-04-20,66.0,46.0,0.00,0.00,0.00,1957
6960,1957-04-21,70.0,42.0,0.00,0.00,0.00,1957
6961,1957-04-22,81.0,45.0,0.00,0.00,0.00,1957
6962,1957-04-23,76.0,51.0,T,0.00,0.00,1957
6963,1957-04-24,77.0,54.0,T,0.00,0.00,1957
6964,1957-04-25,82.0,47.0,0.00,0.00,0.00,1957
6965,1957-04-26,62.0,49.0,0.00,0.00,0.00,1957
6966,1957-04-27,72.0,41.0,0.00,0.00,0.00,1957
6967,1957-04-28,74.0,47.0,0.00,0.00,0.00,1957
6968,1957-04-29,81.0,50.0,0.00,0.00,0.00,1957
6969,1957-04-30,87.0,52.0,0.00,0.00,0.00,1957
6970,1957-05-01,88.0,59.0,0.00,0.00,0.00,1957
6971,1957-05-02,64.0,48.0,T,0.00,0.00,1957
6972,1957-05-03,56.0,38.0,0.00,0.00,0.00,1957
6973,1957-05-04,60.0,33.0,0.00,0.00,0.00,1957
6974,1957-05-05,70.0,37.0,0.00,0.00,0.00,1957
6975,1957-05-06,79.0,46.0,0.00,0.00,0.00,1957
6976,1957-05-07,81.0,56.0,0.00,0.00,0.00,1957
6977,1957-05-08,80.0,51.0,0.00,0.00,0.00,1957
6978,1957-05-09,59.0,47.0,0.00,0.00,0.00,1957
6979,1957-05-10,72.0,48.0,0.00,0.00,0.00,1957
6980,1957-05-11,75.0,44.0,0.00,0.00,0.00,1957
6981,1957-05-12,66.0,52.0,0.18,0.00,0.00,1957
6982,1957-05-13,70.0,52.0,0.32,0.00,0.00,1957
6983,1957-05-14,53.0,42.0,0.60,0.00,0.00,1957
6984,1957-05-15,58.0,40.0,T,0.00,0.00,1957
6985,1957-05-16,62.0,39.0,T,0.00,0.00,1957
6986,1957-05-17,49.0,43.0,0.38,0.00,0.00,1957
6987,1957-05-18,49.0,42.0,0.00,0.00,0.00,1957
6988,1957-05-19,52.0,43.0,0.07,0.00,0.00,1957
6989,1957-05-20,63.0,42.0,0.38,0.00,0.00,1957
6990,1957-05-21,77.0,50.0,0.25,0.00,0.00,1957
6991,1957-05-22,55.0,48.0,0.00,0.00,0.00,1957
6992,1957-05-23,62.0,42.0,0.00,0.00,0.00,1957
6993,1957-05-24,73.0,44.0,0.00,0.00,0.00,1957
6994,1957-05-25,65.0,55.0,0.62,0.00,0.00,1957
6995,1957-05-26,58.0,48.0,0.01,0.00,0.00,1957
6996,1957-05-27,68.0,47.0,0.00,0.00,0.00,1957
6997,1957-05-28,75.0,51.0,0.10,0.00,0.00,1957
6998,1957-05-29,76.0,55.0,0.00,0.00,0.00,1957
6999,1957-05-30,82.0,55.0,0.00,0.00,0.00,1957
7000,1957-05-31,80.0,60.0,0.22,0.00,0.00,1957
7001,1957-06-01,69.0,51.0,0.00,0.00,0.00,1957
7002,1957-06-02,72.0,46.0,T,0.00,0.00,1957
7003,1957-06-03,81.0,59.0,0.00,0.00,0.00,1957
7004,1957-06-04,80.0,60.0,0.00,0.00,0.00,1957
7005,1957-06-05,84.0,60.0,0.00,0.00,0.00,1957
7006,1957-06-06,78.0,61.0,T,0.00,0.00,1957
7007,1957-06-07,72.0,55.0,0.00,0.00,0.00,1957
7008,1957-06-08,70.0,57.0,0.00,0.00,0.00,1957
7009,1957-06-09,78.0,61.0,T,0.00,0.00,1957
7010,1957-06-10,85.0,66.0,0.36,0.00,0.00,1957
7011,1957-06-11,72.0,60.0,0.07,0.00,0.00,1957
7012,1957-06-12,73.0,53.0,0.00,0.00,0.00,1957
7013,1957-06-13,85.0,56.0,0.18,0.00,0.00,1957
7014,1957-06-14,77.0,60.0,0.11,0.00,0.00,1957
7015,1957-06-15,76.0,57.0,T,0.00,0.00,1957
7016,1957-06-16,83.0,61.0,0.31,0.00,0.00,1957
7017,1957-06-17,83.0,64.0,0.28,0.00,0.00,1957
7018,1957-06-18,70.0,58.0,T,0.00,0.00,1957
7019,1957-06-19,83.0,56.0,0.00,0.00,0.00,1957
7020,1957-06-20,89.0,66.0,T,0.00,0.00,1957
7021,1957-06-21,90.0,63.0,1.63,0.00,0.00,1957
7022,1957-06-22,74.0,55.0,0.47,0.00,0.00,1957
7023,1957-06-23,63.0,55.0,0.01,0.00,0.00,1957
7024,1957-06-24,67.0,52.0,0.05,0.00,0.00,1957
7025,1957-06-25,75.0,46.0,0.48,0.00,0.00,1957
7026,1957-06-26,73.0,53.0,0.00,0.00,0.00,1957
7027,1957-06-27,73.0,57.0,0.17,0.00,0.00,1957
7028,1957-06-28,77.0,57.0,0.00,0.00,0.00,1957
7029,1957-06-29,80.0,59.0,0.00,0.00,0.00,1957
7030,1957-06-30,80.0,62.0,0.00,0.00,0.00,1957
7031,1957-07-01,86.0,62.0,T,0.00,0.00,1957
7032,1957-07-02,91.0,69.0,0.00,0.00,0.00,1957
7033,1957-07-03,86.0,66.0,0.53,0.00,0.00,1957
7034,1957-07-04,75.0,66.0,0.00,0.00,0.00,1957
7035,1957-07-05,81.0,60.0,0.05,0.00,0.00,1957
7036,1957-07-06,91.0,63.0,0.00,0.00,0.00,1957
7037,1957-07-07,92.0,71.0,T,0.00,0.00,1957
7038,1957-07-08,83.0,68.0,0.48,0.00,0.00,1957
7039,1957-07-09,84.0,62.0,0.00,0.00,0.00,1957
7040,1957-07-10,90.0,65.0,0.00,0.00,0.00,1957
7041,1957-07-11,97.0,70.0,0.00,0.00,0.00,1957
7042,1957-07-12,88.0,70.0,0.23,0.00,0.00,1957
7043,1957-07-13,89.0,67.0,0.00,0.00,0.00,1957
7044,1957-07-14,92.0,66.0,1.14,0.00,0.00,1957
7045,1957-07-15,84.0,68.0,0.56,0.00,0.00,1957
7046,1957-07-16,79.0,67.0,0.63,0.00,0.00,1957
7047,1957-07-17,87.0,68.0,0.00,0.00,0.00,1957
7048,1957-07-18,96.0,74.0,0.00,0.00,0.00,1957
7049,1957-07-19,97.0,70.0,1.75,0.00,0.00,1957
7050,1957-07-20,84.0,68.0,0.87,0.00,0.00,1957
7051,1957-07-21,81.0,71.0,0.01,0.00,0.00,1957
7052,1957-07-22,85.0,68.0,0.00,0.00,0.00,1957
7053,1957-07-23,79.0,62.0,0.00,0.00,0.00,1957
7054,1957-07-24,82.0,60.0,0.00,0.00,0.00,1957
7055,1957-07-25,76.0,64.0,T,0.00,0.00,1957
7056,1957-07-26,77.0,65.0,0.00,0.00,0.00,1957
7057,1957-07-27,90.0,67.0,0.00,0.00,0.00,1957
7058,1957-07-28,83.0,71.0,0.02,0.00,0.00,1957
7059,1957-07-29,93.0,67.0,0.00,0.00,0.00,1957
7060,1957-07-30,86.0,66.0,T,0.00,0.00,1957
7061,1957-07-31,90.0,68.0,0.04,0.00,0.00,1957
7062,1957-08-01,93.0,68.0,0.82,0.00,0.00,1957
7063,1957-08-02,90.0,68.0,0.31,0.00,0.00,1957
7064,1957-08-03,73.0,64.0,0.00,0.00,0.00,1957
7065,1957-08-04,71.0,58.0,0.00,0.00,0.00,1957
7066,1957-08-05,79.0,54.0,0.00,0.00,0.00,1957
7067,1957-08-06,83.0,56.0,0.00,0.00,0.00,1957
7068,1957-08-07,88.0,64.0,T,0.00,0.00,1957
7069,1957-08-08,80.0,69.0,0.10,0.00,0.00,1957
7070,1957-08-09,80.0,67.0,0.71,0.00,0.00,1957
7071,1957-08-10,88.0,63.0,0.00,0.00,0.00,1957
7072,1957-08-11,90.0,65.0,0.00,0.00,0.00,1957
7073,1957-08-12,81.0,65.0,0.00,0.00,0.00,1957
7074,1957-08-13,81.0,63.0,2.03,0.00,0.00,1957
7075,1957-08-14,89.0,61.0,0.01,0.00,0.00,1957
7076,1957-08-15,80.0,65.0,T,0.00,0.00,1957
7077,1957-08-16,79.0,64.0,0.00,0.00,0.00,1957
7078,1957-08-17,77.0,60.0,T,0.00,0.00,1957
7079,1957-08-18,77.0,63.0,T,0.00,0.00,1957
7080,1957-08-19,79.0,55.0,0.00,0.00,0.00,1957
7081,1957-08-20,81.0,57.0,0.00,0.00,0.00,1957
7082,1957-08-21,86.0,63.0,0.00,0.00,0.00,1957
7083,1957-08-22,84.0,63.0,0.04,0.00,0.00,1957
7084,1957-08-23,78.0,64.0,1.38,0.00,0.00,1957
7085,1957-08-24,80.0,58.0,0.00,0.00,0.00,1957
7086,1957-08-25,84.0,61.0,0.00,0.00,0.00,1957
7087,1957-08-26,70.0,59.0,T,0.00,0.00,1957
7088,1957-08-27,66.0,54.0,0.09,0.00,0.00,1957
7089,1957-08-28,62.0,55.0,0.03,0.00,0.00,1957
7090,1957-08-29,68.0,58.0,T,0.00,0.00,1957
7091,1957-08-30,71.0,63.0,0.23,0.00,0.00,1957
7092,1957-08-31,92.0,67.0,0.00,0.00,0.00,1957
7093,1957-09-01,90.0,69.0,0.47,0.00,0.00,1957
7094,1957-09-02,73.0,63.0,0.12,0.00,0.00,1957
7095,1957-09-03,71.0,54.0,0.46,0.00,0.00,1957
7096,1957-09-04,68.0,51.0,0.00,0.00,0.00,1957
7097,1957-09-05,68.0,49.0,0.00,0.00,0.00,1957
7098,1957-09-06,73.0,52.0,0.00,0.00,0.00,1957
7099,1957-09-07,72.0,52.0,0.00,0.00,0.00,1957
7100,1957-09-08,78.0,50.0,0.00,0.00,0.00,1957
7101,1957-09-09,67.0,57.0,0.13,0.00,0.00,1957
7102,1957-09-10,73.0,55.0,0.02,0.00,0.00,1957
7103,1957-09-11,76.0,55.0,0.00,0.00,0.00,1957
7104,1957-09-12,70.0,51.0,T,0.00,0.00,1957
7105,1957-09-13,66.0,48.0,0.00,0.00,0.00,1957
7106,1957-09-14,63.0,49.0,0.00,0.00,0.00,1957
7107,1957-09-15,61.0,52.0,T,0.00,0.00,1957
7108,1957-09-16,64.0,45.0,0.00,0.00,0.00,1957
7109,1957-09-17,74.0,54.0,T,0.00,0.00,1957
7110,1957-09-18,81.0,54.0,T,0.00,0.00,1957
7111,1957-09-19,69.0,46.0,0.13,0.00,0.00,1957
7112,1957-09-20,52.0,42.0,0.05,0.00,0.00,1957
7113,1957-09-21,64.0,48.0,0.16,0.00,0.00,1957
7114,1957-09-22,64.0,44.0,0.11,0.00,0.00,1957
7115,1957-09-23,57.0,40.0,0.00,0.00,0.00,1957
7116,1957-09-24,72.0,46.0,0.00,0.00,0.00,1957
7117,1957-09-25,63.0,45.0,0.00,0.00,0.00,1957
7118,1957-09-26,57.0,38.0,0.00,0.00,0.00,1957
7119,1957-09-27,64.0,38.0,0.00,0.00,0.00,1957
7120,1957-09-28,69.0,41.0,0.00,0.00,0.00,1957
7121,1957-09-29,78.0,47.0,0.00,0.00,0.00,1957
7122,1957-09-30,78.0,53.0,0.00,0.00,0.00,1957
7123,1957-10-01,75.0,45.0,0.00,0.00,0.00,1957
7124,1957-10-02,79.0,49.0,0.00,0.00,0.00,1957
7125,1957-10-03,72.0,50.0,0.00,0.00,0.00,1957
7126,1957-10-04,70.0,44.0,0.00,0.00,0.00,1957
7127,1957-10-05,72.0,46.0,0.00,0.00,0.00,1957
7128,1957-10-06,69.0,45.0,0.00,0.00,0.00,1957
7129,1957-10-07,67.0,54.0,0.01,0.00,0.00,1957
7130,1957-10-08,58.0,45.0,0.13,0.00,0.00,1957
7131,1957-10-09,51.0,37.0,0.00,0.00,0.00,1957
7132,1957-10-10,45.0,36.0,0.00,0.00,0.00,1957
7133,1957-10-11,53.0,32.0,0.00,0.00,0.00,1957
7134,1957-10-12,59.0,41.0,T,0.00,0.00,1957
7135,1957-10-13,62.0,44.0,0.03,0.00,0.00,1957
7136,1957-10-14,63.0,46.0,0.00,0.00,0.00,1957
7137,1957-10-15,61.0,57.0,0.22,0.00,0.00,1957
7138,1957-10-16,60.0,47.0,T,0.00,0.00,1957
7139,1957-10-17,56.0,39.0,0.00,0.00,0.00,1957
7140,1957-10-18,50.0,35.0,0.00,0.00,0.00,1957
7141,1957-10-19,59.0,29.0,0.00,0.00,0.00,1957
7142,1957-10-20,53.0,30.0,T,0.00,0.00,1957
7143,1957-10-21,51.0,45.0,0.29,0.00,0.00,1957
7144,1957-10-22,53.0,50.0,0.69,0.00,0.00,1957
7145,1957-10-23,52.0,41.0,0.03,0.00,0.00,1957
7146,1957-10-24,41.0,29.0,T,T,0.00,1957
7147,1957-10-25,33.0,25.0,T,T,0.00,1957
7148,1957-10-26,42.0,28.0,0.00,0.00,0.00,1957
7149,1957-10-27,50.0,25.0,0.00,0.00,0.00,1957
7150,1957-10-28,59.0,31.0,0.00,0.00,0.00,1957
7151,1957-10-29,52.0,37.0,T,0.00,0.00,1957
7152,1957-10-30,50.0,38.0,T,0.00,0.00,1957
7153,1957-10-31,60.0,39.0,0.00,0.00,0.00,1957
7154,1957-11-01,52.0,42.0,0.18,0.00,0.00,1957
7155,1957-11-02,49.0,44.0,0.21,0.00,0.00,1957
7156,1957-11-03,44.0,35.0,0.02,0.00,0.00,1957
7157,1957-11-04,38.0,33.0,0.00,0.00,0.00,1957
7158,1957-11-05,43.0,30.0,0.00,0.00,0.00,1957
7159,1957-11-06,41.0,29.0,T,0.00,0.00,1957
7160,1957-11-07,47.0,35.0,0.00,0.00,0.00,1957
7161,1957-11-08,35.0,17.0,0.06,0.60,T,1957
7162,1957-11-09,32.0,15.0,T,T,1.00,1957
7163,1957-11-10,46.0,21.0,0.00,0.00,T,1957
7164,1957-11-11,57.0,36.0,0.00,0.00,0.00,1957
7165,1957-11-12,50.0,40.0,0.00,0.00,0.00,1957
7166,1957-11-13,45.0,42.0,0.02,0.00,0.00,1957
7167,1957-11-14,44.0,41.0,0.05,0.00,0.00,1957
7168,1957-11-15,44.0,34.0,0.00,0.00,0.00,1957
7169,1957-11-16,35.0,31.0,0.00,0.00,0.00,1957
7170,1957-11-17,31.0,29.0,T,T,0.00,1957
7171,1957-11-18,30.0,24.0,0.76,7.60,T,1957
7172,1957-11-19,30.0,24.0,0.19,1.90,10.00,1957
7173,1957-11-20,31.0,23.0,T,T,8.00,1957
7174,1957-11-21,29.0,19.0,T,T,8.00,1957
7175,1957-11-22,30.0,14.0,0.00,0.00,7.00,1957
7176,1957-11-23,45.0,30.0,0.05,T,6.00,1957
7177,1957-11-24,32.0,15.0,0.00,0.00,2.00,1957
7178,1957-11-25,33.0,24.0,T,T,2.00,1957
7179,1957-11-26,35.0,23.0,T,0.00,2.00,1957
7180,1957-11-27,37.0,25.0,0.00,0.00,1.00,1957
7181,1957-11-28,29.0,21.0,T,0.00,1.00,1957
7182,1957-11-29,30.0,10.0,0.02,0.20,1.00,1957
7183,1957-11-30,26.0,6.0,0.00,0.00,1.00,1957
7184,1957-12-01,43.0,20.0,0.00,0.00,1.00,1957
7185,1957-12-02,21.0,12.0,0.00,0.00,T,1957
7186,1957-12-03,30.0,16.0,0.00,0.00,T,1957
7187,1957-12-04,30.0,20.0,0.00,0.00,T,1957
7188,1957-12-05,38.0,21.0,0.00,0.00,T,1957
7189,1957-12-06,30.0,22.0,0.00,0.00,T,1957
7190,1957-12-07,27.0,19.0,0.00,0.00,T,1957
7191,1957-12-08,29.0,20.0,T,T,T,1957
7192,1957-12-09,41.0,20.0,0.00,0.00,T,1957
7193,1957-12-10,38.0,-1.0,T,T,T,1957
7194,1957-12-11,10.0,-3.0,0.00,0.00,T,1957
7195,1957-12-12,32.0,4.0,T,T,T,1957
7196,1957-12-13,42.0,28.0,0.00,0.00,T,1957
7197,1957-12-14,42.0,22.0,0.00,0.00,T,1957
7198,1957-12-15,46.0,32.0,0.00,0.00,T,1957
7199,1957-12-16,40.0,23.0,0.00,0.00,T,1957
7200,1957-12-17,37.0,29.0,T,T,T,1957
7201,1957-12-18,36.0,32.0,0.07,0.40,T,1957
7202,1957-12-19,33.0,30.0,0.05,0.50,1.00,1957
7203,1957-12-20,35.0,24.0,T,T,1.00,1957
7204,1957-12-21,40.0,28.0,0.00,0.00,T,1957
7205,1957-12-22,45.0,33.0,0.00,0.00,T,1957
7206,1957-12-23,40.0,26.0,0.00,0.00,0.00,1957
7207,1957-12-24,46.0,22.0,0.00,0.00,0.00,1957
7208,1957-12-25,36.0,30.0,0.10,1.00,0.00,1957
7209,1957-12-26,30.0,17.0,T,T,1.00,1957
7210,1957-12-27,38.0,18.0,0.01,0.20,1.00,1957
7211,1957-12-28,18.0,0.0,0.00,0.00,1.00,1957
7212,1957-12-29,6.0,-4.0,T,T,1.00,1957
7213,1957-12-30,12.0,4.0,0.01,0.10,T,1957
7214,1957-12-31,10.0,1.0,T,T,T,1957
7215,1958-01-01,12.0,-2.0,0.01,0.10,T,1958
7216,1958-01-02,9.0,-2.0,0.00,0.00,T,1958
7217,1958-01-03,23.0,-2.0,0.00,0.00,T,1958
7218,1958-01-04,28.0,5.0,0.00,0.00,T,1958
7219,1958-01-05,41.0,17.0,0.00,0.00,T,1958
7220,1958-01-06,35.0,6.0,T,T,T,1958
7221,1958-01-07,18.0,-3.0,0.00,0.00,T,1958
7222,1958-01-08,35.0,13.0,0.00,0.00,T,1958
7223,1958-01-09,42.0,16.0,0.00,0.00,0.00,1958
7224,1958-01-10,41.0,25.0,0.00,0.00,0.00,1958
7225,1958-01-11,39.0,22.0,0.00,0.00,0.00,1958
7226,1958-01-12,45.0,29.0,0.00,0.00,0.00,1958
7227,1958-01-13,38.0,26.0,T,T,0.00,1958
7228,1958-01-14,36.0,27.0,T,T,0.00,1958
7229,1958-01-15,33.0,26.0,0.03,0.30,0.00,1958
7230,1958-01-16,33.0,30.0,T,T,T,1958
7231,1958-01-17,30.0,19.0,T,T,T,1958
7232,1958-01-18,25.0,13.0,T,T,T,1958
7233,1958-01-19,28.0,19.0,T,T,T,1958
7234,1958-01-20,24.0,17.0,T,T,T,1958
7235,1958-01-21,22.0,11.0,T,T,T,1958
7236,1958-01-22,31.0,12.0,T,T,T,1958
7237,1958-01-23,29.0,23.0,T,T,T,1958
7238,1958-01-24,34.0,22.0,T,T,T,1958
7239,1958-01-25,30.0,21.0,0.04,0.40,T,1958
7240,1958-01-26,30.0,26.0,0.10,1.30,1.00,1958
7241,1958-01-27,26.0,21.0,T,T,2.00,1958
7242,1958-01-28,22.0,18.0,0.03,0.30,2.00,1958
7243,1958-01-29,21.0,18.0,T,T,2.00,1958
7244,1958-01-30,23.0,10.0,T,T,2.00,1958
7245,1958-01-31,17.0,6.0,0.00,0.00,2.00,1958
7246,1958-02-01,15.0,6.0,T,T,2.00,1958
7247,1958-02-02,15.0,5.0,0.01,0.10,1.00,1958
7248,1958-02-03,27.0,-2.0,0.00,0.00,1.00,1958
7249,1958-02-04,29.0,11.0,0.00,0.00,1.00,1958
7250,1958-02-05,28.0,16.0,0.00,0.00,1.00,1958
7251,1958-02-06,17.0,0.0,0.00,0.00,1.00,1958
7252,1958-02-07,7.0,-5.0,0.00,0.00,1.00,1958
7253,1958-02-08,1.0,-4.0,T,T,1.00,1958
7254,1958-02-09,7.0,-7.0,0.00,0.00,1.00,1958
7255,1958-02-10,7.0,-8.0,T,T,1.00,1958
7256,1958-02-11,9.0,-3.0,0.02,0.30,1.00,1958
7257,1958-02-12,20.0,4.0,T,T,1.00,1958
7258,1958-02-13,22.0,3.0,0.00,0.00,1.00,1958
7259,1958-02-14,15.0,2.0,0.03,0.40,1.00,1958
7260,1958-02-15,2.0,-11.0,0.00,0.00,1.00,1958
7261,1958-02-16,1.0,-15.0,0.00,0.00,1.00,1958
7262,1958-02-17,8.0,-11.0,0.00,0.00,1.00,1958
7263,1958-02-18,15.0,-4.0,0.00,0.00,1.00,1958
7264,1958-02-19,22.0,-2.0,0.00,0.00,1.00,1958
7265,1958-02-20,32.0,4.0,0.00,0.00,1.00,1958
7266,1958-02-21,35.0,18.0,T,0.00,1.00,1958
7267,1958-02-22,42.0,11.0,0.00,0.00,1.00,1958
7268,1958-02-23,59.0,31.0,0.00,0.00,T,1958
7269,1958-02-24,50.0,33.0,0.00,0.00,0.00,1958
7270,1958-02-25,56.0,30.0,0.00,0.00,0.00,1958
7271,1958-02-26,59.0,38.0,0.09,0.00,0.00,1958
7272,1958-02-27,44.0,30.0,0.05,0.00,0.00,1958
7273,1958-02-28,30.0,24.0,0.04,0.40,0.00,1958
7274,1958-03-01,30.0,24.0,0.13,1.40,1.00,1958
7275,1958-03-02,32.0,23.0,0.05,0.60,2.00,1958
7276,1958-03-03,35.0,24.0,0.00,0.00,2.00,1958
7277,1958-03-04,33.0,23.0,0.00,0.00,2.00,1958
7278,1958-03-05,40.0,21.0,0.09,0.90,2.00,1958
7279,1958-03-06,37.0,18.0,0.00,0.00,2.00,1958
7280,1958-03-07,38.0,24.0,0.00,0.00,1.00,1958
7281,1958-03-08,38.0,29.0,0.00,0.00,1.00,1958
7282,1958-03-09,37.0,24.0,0.00,0.00,T,1958
7283,1958-03-10,35.0,18.0,0.00,0.00,T,1958
7284,1958-03-11,43.0,22.0,0.00,0.00,T,1958
